🕘️更新时间,#genre#
2026-01-23 11:32:07,http://go.bkpcp.top/mg/cctv1

🥬📺央视频道,#genre#
CCTV1综合,http://go.bkpcp.top/mg/cctv1
CCTV1综合,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV1综合,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV1综合,http://23.237.228.134/live5/CCTV1.m3u8
CCTV1综合,http://tvlist.top/jd/index.php?id=cctv1&qt=183.224.122.114:8014
CCTV1综合,https://iptv.catvod.com/live.php?id=CCTV1
CCTV1综合,http://drive.mxmy.net:8888/udp/239.3.1.129:8008
CCTV1综合,http://www.tszhgjj.cn:7000/rtp/239.253.92.83:8012
CCTV1综合,http://112.123.206.32:808/hls/1/index.m3u8
CCTV1综合,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV2财经,http://go.bkpcp.top/mg/cctv2
CCTV2财经,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV2财经,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV2财经,http://pull-hls-f1.douyincdn.com/media/stream-695106910011261612/playlist.m3u8?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-202601211138448FA9B998510F771A8747-9PrRHC&wsSecret=de5da072805f2c6d3fe8427464714c6f&wsTime=69704a44
CCTV2财经,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV2财经,http://23.237.228.134/live5/CCTV2.m3u8
CCTV2财经,https://iptv.catvod.com/live.php?id=CCTV2
CCTV2财经,http://drive.mxmy.net:8888/udp/239.3.1.60:8084
CCTV2财经,http://www.tszhgjj.cn:7000/rtp/239.253.92.190:6065
CCTV2财经,http://27.41.245.32:801/hls/2/index.m3u8
CCTV3综艺,http://go.bkpcp.top/mg/cctv3
CCTV3综艺,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV3综艺,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV3综艺,http://23.237.228.134/live5/CCTV3.m3u8
CCTV3综艺,https://iptv.catvod.com/live.php?id=CCTV3
CCTV3综艺,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8
CCTV3综艺,http://www.tszhgjj.cn:7000/rtp/239.253.92.191:6057
CCTV3综艺,http://hczn.x3322.net:9902/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8
